,c++,c#,python,sql,nosql,database,java,javascript,php,swift,ios,ruby,mining,big data,agile,android,css,html
 AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AK,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AK,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AK,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
